21-May-20 23:12:10 - Key exchange time: 333.7386999999996 ms.
21-May-20 23:12:12 - Verifier time taken is: 0.7340999999998488 ms
21-May-20 23:12:12 - Prover time taken is: 3.6759999999986803 ms
21-May-20 23:12:12 - Total time taken is: 4.410099999998529 ms
21-May-20 23:12:14 - Verifier time taken is: 0.4445000000004029 ms
21-May-20 23:12:14 - Prover time taken is: 2.128000000000796 ms
21-May-20 23:12:14 - Total time taken is: 2.572500000001199 ms
21-May-20 23:12:16 - Verifier time taken is: 0.6718000000009994 ms
21-May-20 23:12:16 - Prover time taken is: 2.152500000001112 ms
21-May-20 23:12:16 - Total time taken is: 2.8243000000021112 ms
21-May-20 23:12:18 - Verifier time taken is: 1.369900000000257 ms
21-May-20 23:12:18 - Prover time taken is: 1.9018000000006197 ms
21-May-20 23:12:18 - Total time taken is: 3.2717000000008767 ms
21-May-20 23:12:20 - Verifier time taken is: 0.5517999999984369 ms
21-May-20 23:12:20 - Prover time taken is: 2.291299999999552 ms
21-May-20 23:12:20 - Total time taken is: 2.843099999997989 ms
21-May-20 23:12:22 - Verifier time taken is: 0.735900000002232 ms
21-May-20 23:12:22 - Prover time taken is: 2.0108999999983723 ms
21-May-20 23:12:22 - Total time taken is: 2.7468000000006043 ms
21-May-20 23:12:24 - Verifier time taken is: 0.5560999999971727 ms
21-May-20 23:12:24 - Prover time taken is: 2.210500000000337 ms
21-May-20 23:12:24 - Total time taken is: 2.76659999999751 ms
21-May-20 23:12:26 - Verifier time taken is: 0.7209000000010235 ms
21-May-20 23:12:26 - Prover time taken is: 4.012500000001751 ms
21-May-20 23:12:26 - Total time taken is: 4.733400000002774 ms
21-May-20 23:12:28 - Verifier time taken is: 0.8589000000007729 ms
21-May-20 23:12:28 - Prover time taken is: 1.9632000000022742 ms
21-May-20 23:12:28 - Total time taken is: 2.822100000003047 ms
21-May-20 23:12:30 - Verifier time taken is: 1.0529999999988604 ms
21-May-20 23:12:30 - Prover time taken is: 2.2169000000005212 ms
21-May-20 23:12:30 - Total time taken is: 3.2698999999993816 ms
21-May-20 23:12:32 - Verifier time taken is: 0.43949999999881584 ms
21-May-20 23:12:32 - Prover time taken is: 2.39429999999885 ms
21-May-20 23:12:32 - Total time taken is: 2.833799999997666 ms
21-May-20 23:12:34 - Verifier time taken is: 0.4273999999995226 ms
21-May-20 23:12:34 - Prover time taken is: 2.2596999999997536 ms
21-May-20 23:12:34 - Total time taken is: 2.687099999999276 ms
21-May-20 23:12:36 - Verifier time taken is: 0.8057000000007974 ms
21-May-20 23:12:36 - Prover time taken is: 2.1157000000044945 ms
21-May-20 23:12:36 - Total time taken is: 2.921400000005292 ms
21-May-20 23:12:38 - Verifier time taken is: 0.648800000000449 ms
21-May-20 23:12:38 - Prover time taken is: 2.0807000000004905 ms
21-May-20 23:12:38 - Total time taken is: 2.7295000000009395 ms
21-May-20 23:12:40 - Verifier time taken is: 0.7390999999969949 ms
21-May-20 23:12:40 - Prover time taken is: 2.735000000001264 ms
21-May-20 23:12:40 - Total time taken is: 3.474099999998259 ms
21-May-20 23:12:42 - Verifier time taken is: 0.7505999999963819 ms
21-May-20 23:12:42 - Prover time taken is: 1.9844999999989454 ms
21-May-20 23:12:42 - Total time taken is: 2.7350999999953274 ms
21-May-20 23:12:44 - Verifier time taken is: 0.7762000000042235 ms
21-May-20 23:12:45 - Prover time taken is: 1.90820000000258 ms
21-May-20 23:12:45 - Total time taken is: 2.6844000000068036 ms
21-May-20 23:12:47 - Verifier time taken is: 0.5006999999963568 ms
21-May-20 23:12:47 - Prover time taken is: 1.6717999999968924 ms
21-May-20 23:12:47 - Total time taken is: 2.1724999999932493 ms
21-May-20 23:12:49 - Verifier time taken is: 0.4540000000048394 ms
21-May-20 23:12:49 - Prover time taken is: 1.8148999999993976 ms
21-May-20 23:12:49 - Total time taken is: 2.268900000004237 ms
21-May-20 23:12:51 - Verifier time taken is: 0.8267999999986841 ms
21-May-20 23:12:51 - Prover time taken is: 2.8706000000013887 ms
21-May-20 23:12:51 - Total time taken is: 3.697400000000073 ms
21-May-20 23:12:53 - Verifier time taken is: 0.6099000000006072 ms
21-May-20 23:12:53 - Prover time taken is: 2.0148999999989314 ms
21-May-20 23:12:53 - Total time taken is: 2.6247999999995386 ms
21-May-20 23:12:55 - Verifier time taken is: 0.5993999999986954 ms
21-May-20 23:12:55 - Prover time taken is: 2.3431999999985464 ms
21-May-20 23:12:55 - Total time taken is: 2.942599999997242 ms
21-May-20 23:12:57 - Verifier time taken is: 0.4423000000031152 ms
21-May-20 23:12:57 - Prover time taken is: 1.9311999999942486 ms
21-May-20 23:12:57 - Total time taken is: 2.373499999997364 ms
21-May-20 23:12:59 - Verifier time taken is: 0.7519999999985316 ms
21-May-20 23:12:59 - Prover time taken is: 2.082600000001378 ms
21-May-20 23:12:59 - Total time taken is: 2.8345999999999094 ms
21-May-20 23:13:01 - Verifier time taken is: 0.6667000000035728 ms
21-May-20 23:13:01 - Prover time taken is: 2.0019999999973948 ms
21-May-20 23:13:01 - Total time taken is: 2.6687000000009675 ms
21-May-20 23:13:03 - Verifier time taken is: 0.6719999999944548 ms
21-May-20 23:13:03 - Prover time taken is: 2.127700000002619 ms
21-May-20 23:13:03 - Total time taken is: 2.799699999997074 ms
21-May-20 23:13:05 - Verifier time taken is: 0.41719999999401125 ms
21-May-20 23:13:05 - Prover time taken is: 1.6324000000054184 ms
21-May-20 23:13:05 - Total time taken is: 2.0495999999994297 ms
21-May-20 23:13:07 - Verifier time taken is: 0.5658999999980097 ms
21-May-20 23:13:07 - Prover time taken is: 1.9611999999966656 ms
21-May-20 23:13:07 - Total time taken is: 2.5270999999946753 ms
21-May-20 23:13:09 - Verifier time taken is: 0.8196999999938726 ms
21-May-20 23:13:09 - Prover time taken is: 2.388099999990345 ms
21-May-20 23:13:09 - Total time taken is: 3.2077999999842177 ms
21-May-20 23:13:11 - Verifier time taken is: 0.7017000000075768 ms
21-May-20 23:13:11 - Prover time taken is: 1.798100000002023 ms
21-May-20 23:13:11 - Total time taken is: 2.4998000000096 ms
21-May-20 23:13:13 - Verifier time taken is: 0.4842000000024882 ms
